CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
422.0,25.0,20.6,62.59,37.7,0.0,58.17,1.0
422.0,25.0,20.6,62.59,37.7,0.0,58.17,1.0
413.0,25.2,20.9,62.59,37.7,0.0,58.17,1.0
412.0,24.2,20.7,62.59,37.7,0.0,58.17,1.0
412.0,24.2,20.7,62.59,37.7,0.0,58.17,1.0
431.0,23.4,19.6,62.59,37.7,0.0,58.17,1.0
431.0,23.4,19.6,62.59,37.7,0.0,58.17,1.0
509.0,22.7,19.0,62.59,37.7,0.0,58.17,2.0
425.0,22.1,18.4,62.59,37.7,0.0,58.17,1.0
425.0,22.1,18.4,62.59,37.7,0.0,58.17,1.0
434.0,22.5,18.7,62.59,37.7,0.0,58.17,1.0
434.0,22.5,18.7,62.59,37.7,0.0,58.17,1.0
432.0,23.2,18.6,62.59,37.7,0.0,58.17,1.0
478.0,25.8,22.5,62.59,37.7,0.0,58.17,2.0
478.0,25.8,22.5,62.59,37.7,0.0,58.17,2.0
485.0,27.8,22.0,62.59,37.7,0.0,58.17,2.0
501.0,32.3,25.1,62.59,37.7,0.0,58.17,2.0
501.0,32.3,25.1,62.59,37.7,0.0,58.17,2.0
511.0,32.9,25.2,62.59,37.7,0.0,58.17,2.0
521.0,42.3,37.7,62.59,37.7,0.0,58.17,2.0
521.0,42.3,37.7,62.59,37.7,0.0,58.17,2.0
544.0,46.3,41.3,62.59,37.7,0.0,58.17,2.0
488.0,50.3,45.0,62.59,37.7,0.0,58.17,2.0
488.0,50.3,45.0,62.59,37.7,0.0,58.17,2.0
450.0,52.1,46.5,62.59,37.7,0.0,58.17,1.0
484.0,52.7,47.0,62.59,37.7,0.0,58.17,2.0
484.0,52.7,47.0,62.59,37.7,0.0,58.17,2.0
503.0,58.3,52.2,62.59,37.7,0.0,58.17,2.0
503.0,58.3,52.2,62.59,37.7,0.0,58.17,2.0
482.0,47.3,42.1,62.59,37.7,0.0,58.17,1.0
461.0,53.2,46.7,62.59,37.7,0.0,58.17,1.0
461.0,53.2,46.7,62.59,37.7,0.0,58.17,1.0
464.0,58.2,51.9,62.59,37.7,0.0,58.17,1.0
464.0,58.2,51.9,62.59,37.7,0.0,58.17,1.0
486.0,59.2,52.7,62.59,37.7,0.0,58.17,2.0
514.0,72.2,63.0,62.59,37.7,0.0,58.17,2.0
514.0,72.2,63.0,62.59,37.7,0.0,58.17,2.0
510.0,58.3,52.1,62.59,37.7,0.0,58.17,2.0
503.0,55.1,49.0,62.59,37.7,0.0,58.17,2.0
503.0,55.1,49.0,62.59,37.7,0.0,58.17,2.0
561.0,62.4,55.7,62.59,37.7,0.0,58.17,2.0
522.0,76.9,68.9,62.59,37.7,0.0,58.17,2.0
522.0,76.9,68.9,62.59,37.7,0.0,58.17,2.0
458.0,82.6,73.9,62.59,37.7,0.0,58.17,1.0
458.0,82.6,73.9,62.59,37.7,0.0,58.17,1.0
491.0,81.6,72.9,62.59,37.7,0.0,58.17,2.0
502.0,86.6,77.5,62.59,37.7,0.0,58.17,2.0
515.0,72.1,63.9,62.59,37.7,0.0,58.17,2.0
542.0,94.2,70.7,62.59,37.7,0.0,58.17,2.0
542.0,94.2,70.7,62.59,37.7,0.0,58.17,2.0
545.0,88.9,73.4,62.59,37.7,0.0,58.17,2.0
564.0,81.1,67.1,62.59,37.7,0.0,58.17,2.0
499.0,88.5,77.0,62.59,37.7,0.0,58.17,2.0
507.0,82.6,73.6,62.59,37.7,0.0,58.17,2.0
507.0,82.6,73.6,62.59,37.7,0.0,58.17,2.0
518.0,83.1,74.3,62.59,37.7,0.0,58.17,2.0
518.0,83.1,74.3,62.59,37.7,0.0,58.17,2.0
